Time,Overhead
5,6.38298
15,6.38298
25,6.38298
35,6.38298
45,6.38298
55,6.38298
65,6.38298
75,6.38298
85,6.38298
95,6.38298
105,6.38298
115,6.38298
125,6.38298
135,6.38298
145,6.38298
155,6.38298
165,6.38298
175,6.38298
185,6.38298
195,6.38298
205,6.38298
215,6.38298
225,6.38298
235,6.38298
245,6.38298
255,6.38298
265,6.38298
275,6.38298
285,6.38298
295,6.38298
305,6.38298
315,6.38298
325,6.38298
335,6.38298
345,6.38298
355,6.38298
365,6.38298
375,6.38298
385,6.38298
395,6.38298
405,6.38298
415,6.38298
425,6.38298
435,6.38298
445,6.38298
455,6.38298
465,6.38298
475,6.38298
485,6.38298
495,6.38298
505,6.38298
515,6.38298
525,6.38298
535,6.38298
545,6.38298
555,6.38298
565,6.38298
575,6.38298
585,6.38298
595,6.38298
605,6.38298
615,6.38298
625,6.38298
635,6.38298
645,6.38298
655,6.38298
665,6.38298
675,6.38298
685,6.38298
695,6.38298
705,6.38298
715,6.38298
725,6.38298
735,6.38298
745,6.38298
755,6.38298
765,6.38298
775,6.38298
785,6.38298
795,6.38298
805,6.38298
815,6.38298
825,6.38298
835,6.38298
845,6.38298
